id,answer,explain
1,true,"徐行や停止をするときには制動灯などで後続車に合図します。"
2,true,"先頭車両が「自動車」の場合は二重追い越し禁止ですが、先頭車両が「原動機付自転車」の場合には二重追い越しになりません。"
3,false,""
4,true,""
5,true,""
6,false,""
7,false,"この標識は「自動車組み合わせ通行止め」で、軽車両は通行できます。「車両通行止め」の標識の場合は軽車両も通行できません。"
8,false,"大型自動車は運転できません。"
9,true,""
10,true,""
11,true,""
12,false,"まず安全確認をしてから合図を出します。"
13,true,""
14,false,""
15,false,"中央線が交差点内に引かれているので、Ａ車が進行している道路が優先道路です。優先道路を進行している場合は必ずしもアで徐行する必要はありません。"
16,false,"安全な間隔がとれる場合は徐行しなくてよいことになっています。「必ず」という言葉があるときは、よく考えましょう。"
17,false,"車両通行帯があれば追い越しは可能です（標識標示で禁止されている場合を除きます。"
18,false,""
19,false,""
20,false,""
21,false,""
22,true,""
23,false,"これは赤色の灯火と同じ意味です。警察官の体に対面（背面）する交通に対しては腕の状態にかかわらず「赤色」、警察官の体に平行する交通に対しては腕が上に上がっている 状態は「黄色」、それ以外は「青色」と覚えておきましょう。"
24,true,""
25,true,""
26,false,"これは「前方に横断歩道・自転車横断帯あり」です。"
27,true,""
28,true,""
29,false,"車間距離を詰めるのは危険です。安全な車間距離をとって追い越しができるまで待ってから追い越しをします。"
30,true,""
31,false,"この警戒標識は「付近に学校などがある」ことを意味しています。"
32,true,""
33,true,""
34,false,""
35,false,""
36,false,"仮免許で運転するときに付けるのは「仮免許練習標識」です。"
37,true,""
38,true,""
39,false,""
40,false,"自動車は直進、左折、右折できますが、軽車両は右折できません。"
41,false,""
42,false,""
43,false,""
44,true,""
45,true,""
46,false,""
47,true,""
48,true,""
49,false,"ブレーキがきき始めてから停止するまでの距離は制動距離です。"
50,true,""
51,false,"後退は禁止されていません。"
52,true,"免許を取って最初の１年間に安全運転を身につけて頂くためにこうした決まりがあります。"
53,false,"旅客運送の際には第二種免許が必要ですが、回送などの際は第一種免許でも運転できます。"
54,false,""
55,true,""
56,true,""
57,true,""
58,false,"この道路標識は「横断歩道あり」です。"
59,true,""
60,false,"二重追い越しの除外規定と混同しないように注意が必要です。追い越しが禁止される場所では一般原動機付自転車も追い越してはいけません。"
61,false,"残存歩行者がある場合もあります。安全が確認できない時は安易に発進してはいけません。"
62,false,"横断歩行者がいる可能性があるので、一時停止が必要です。"
63,true,""
64,true,""
65,false,""
66,false,"免許証不携帯または免許情報記録個人番号カード不携帯であり、無免許運転にはなりません。"
67,true,""
68,true,""
69,false,"罰則は適用されませんが、後部座席の人にもシートベルトを着用させる義務があります。"
70,false,""
71,true,""
72,false,"あらかじめ道路の中央に寄ってから右折を開始します。図は道路の左端から右折しているので誤りです。"
73,true,""
74,false,"これは「はみ出し追い越し禁止」なので中央線を越えない追い越しは違反になりません。「追越し禁止」の補助標識がつくと一切追い越しはできません。"
75,false,""
76,false,""
77,false,""
78,false,""
79,false,""
80,false,"第一種普通免許３年以上などの免許経験が必要です。"
81,false,""
82,true,""
83,false,"交差点を避けて一時停止します。"
84,false,"左折するときは、できるだけ左端へ寄り、二輪車などを巻き込まないように注意して曲がります。"
85,true,"「路肩」部分には自動車（二輪のものを除く）を乗り入れてはいけません。"
86,false,"乗り降りをする歩行者などに注意して「徐行」して通過できます。"
87,true,"衝突の危険性があるやむを得ない場合はこうした割り込みも認められています。通常は割り込んではいけません。"
88,false,"この道路標識は「横断歩道あり」です。"
89,false,"この道路標識は「安全地帯あり」で、歩行者がいなければ徐行の必要はありません。"
90,true,""
91,true,"安全地帯がない停留所では乗降客がいなくなるまで一時停止する必要がありますが、安全地帯がある場合は徐行して通過してもかまいません。"
92,false,""
93,false,"空走距離＋制動距離＝停止距離です。"
94,true,""
95,true,""
96,true,""
97,false,"沿道に車庫を持つ人は、あらかじめ警察署長の許可を受け、その許可証を呈示して歩行者に注意し、徐行して通行できます。"
98,true,""
99,true,""
100,false,"青信号の踏切では、一時停止は必要ありませんが、安全確認は必要です。"
101,true,"「高齢運転者標識」を付けて運転している車に対しては、危険防止のためやむを得ない場合を除き側方に幅よせをしたり、前方に割り込んではいけません。"
102,true,"転回も右折も３０メートル手前が合図の時期です。"
103,false,""
104,false,""
105,false,"この標識は「大型乗用自動車通行止め」なので乗車定員が１１人以上の自動車は通行できません。ただし、「マイクロバスを除く」という補助標識がついた場合は乗車定員２９人までの自動車（通称、マイクロバス）は通行できます。"
106,true,""
107,false,"標識の絵を見ると普通自動車の絵ですが、意味は「自動車の軌道敷内通行可」なので、大型自動車や自動二輪車も軌道敷内を通行できます。ただし、これに「普通自動車」という補助標識がついた場合は普通自動車だけが軌道敷内を通行できることになります。"
108,true,""
109,false,"第一種普通免許の運転経験３年以上の者の同乗指導が必要です。"
110,true,"平成２９年の法改正により、普通免許の最大積載量は２トン未満になっています。"
111,true,"普通二輪免許を取得後１年間は二人乗りが禁止されています。大型二輪も取得後１年間も同様ですが、大型二輪免許取得前にすでに普通二輪の経験が１年以上ある場合は大型二 輪取得後すぐに二人乗りができます。"
112,true,"二輪車から降りてエンジンを切って押す場合は歩行者ですが、エンジンがかかっていると歩行者としては扱われませんので注意が必要です。"
113,false,"交差点のない道路では左側に寄って進路を譲るだけでよく、必ずしも停止する必要はありません。"
114,true,""
115,true,"これを「キープレフトの原則」といいます。"
116,false,"歩道を横切るときは徐行ではなく、一時停止して安全確認をする必要があります。"
117,true,"二段階右折交差点では軽車両と同じ方法で右折します。"
118,false,""
119,true,""
120,false,"原動機付自転車は３０Km/hを超えて走行することはできません。"
121,true,"「共同正犯」というきまりがあり、同乗者も運転者と同等の処罰を受ける場合があります。"
122,false,"横断歩道・自転車横断帯とその手前３０メートル以内は、追い越しも追い抜きも禁止です。"
123,true,""
124,true,""
125,false,"先頭車両が自動車の場合は二重追い越しになりますが、先頭車両が原動機付自転車の場合は二重追い越しになりません。"
126,true,""
127,false,""
128,false,"この道路はＡの走行している道路のセンターラインが交差点内まで続けて引かれているので、Ａの道路が優先道路になります。"
129,false,"この道路標示は「駐車禁止」です。「駐停車禁止」は黄色の実線になります。"
130,false,"「こう配の急な上り坂」での追い越しは禁止されていません。"
131,true,""
132,false,""
133,true,""
134,false,"歩行者などがいないことが明かな場合は徐行する必要はありません。"
135,false,""
136,true,""
137,false,"車庫から車を出すときにバックで出ることは危険です。車庫に入れるときはバックで入れ、出るときに前進で出られるようにしておくのが安全です。"
138,true,""
139,false,""
140,true,""
141,true,"ルームミラーは平面鏡ですが、サイドミラーは凸面鏡になっています。このためサイドミラーは広い範囲が写り安全確認はしやすいのですが、反面、距離感はつかみにくくなり ます。"
142,true,""
143,false,""
144,true,""
145,true,""
146,false,"この道路標識は「車線数減少」です。幅員減少とは別の道路標識です。"
147,true,""
148,false,"免許証不携帯（反則点なし、反則金３０００円）にはなりますが、無免許運転（反則点１９点、罰金３０万円以下）にはなりません。"
149,false,""
150,true,"免許試験に合格し、免許証が本人に交付されてからしか運転してはいけません。交付を受ける前に運転すると無免許運転になります。"
151,false,"「空走距離」と「制動距離」を合わせたものが「停止距離」です。"
152,false,"後退するときはチェンジレバーをバックギヤ（オートマチック車ではＲ）に入れると後退燈が点灯します。これが後退の合図になります。"
153,true,""
154,false,"図の標識は自転車専用道路の標識です。自転車横断帯は別の標示になります。"
155,true,"通常の踏切では一時停止が原則ですが、青信号の踏切だけは一時停止しないで通過できます。ただし安全確認は必要です。"
156,false,"乗車定員１０人以下の車までが普通免許で運転できます。"
157,true,"問題に示された数値は、それぞれの速度での停止距離です。車間距離はその速度における停止距離以上にとることが大切です。"
158,false,"図の標識は「車両通行止」の標識で「車両進入禁止」とは別標識です。"
159,false,"「キープレフトの原則」に従って、右側の通行帯は追い越しや右折のために空けておき、通常は左側の通行帯を通行します。"
160,false,"この場合は、「徐行」ではなく、「一時停止」しなければなりません。"
161,false,"図の標示板は「左折可」の標示板です。一方通行は青地に白矢印の標識です。"
162,true,"転回も右折も３０メートル手前で合図を出すことになっています。"
163,false,"進路変更を終わったときは、その直後に合図をやめます。"
164,true,""
165,false,"路線バス専用通行帯は路線バスの他、問題に示された車の通行が認められています。"
166,true,""
167,false,"一方通行から右折するときはできるだけ道路の右端に寄ってから右折します。"
168,false,""
169,false,"徐行や停止をするときはブレーキをかけることにより制動燈を点灯させて後続車等に合図します。"
170,true,"交通整理が行われている交差点で青信号に従って通行する場合は見通しが悪い場合でも徐行する義務はありません。交通整理が行われていない交差点では徐行する必要がありま す。"
171,true,""
172,true,"多くの学科試験問題では「必ず」や「絶対」等の表現があった場合は間違いのケースが多いのですが、交差点の右左折は必ず徐行が義務づけられているので、この場合は必ずが あっても正解です。"
173,false,"図は転回禁止であることを表す道路標示です。"
174,false,"路線バスが発進しようとしている時は、その発進を妨げないように注意する義務がありますが、停止しているバスを追い越すことは特に禁止されていません。"
175,true,""
176,true,""
177,true,""
178,true,"運転中の携帯電話使用は禁止されています。平成１６年１１月１日からは他車に危険を及ぼさなくても走行中の携帯電話使用は処罰の対象となっています。"
179,false,"横断歩道や自転車横断帯とその手前３０メートル以内の場所では追い越しだけでなく追い抜きも禁止されています。"
180,false,"三つに区分は正しいのですが、原付免許ではなく仮免許を含めて三区分です。"
181,true,"二重追い越しになるかどうかは先頭車両が自動車か原動機付自転車かで変わる場合がありますが、通常の追い越し禁止は原動機付自転車も含めて禁止されています。"
182,true,""
183,false,"図の標示は「前方優先道路あり」です。"
184,true,""
185,false,"けん引自動車の最高速度は６０キロメートル毎時です。"
186,true,""
187,false,""
188,true,""
189,true,""
190,false,""
191,false,"赤点滅信号では必ず一時停止が必要です。"
192,false,""
193,false,""
194,true,""
195,true,""
196,true,""
197,false,"道路の曲がり角では、見通しがよくても徐行が必要です。"
198,true,""
199,false,"こう配の急な下り坂では原動機付自転車も追い越してはいけません。"
200,true,"問題の通りです。できるだけ後部座席にチャイルドシートをつける方が安全です。"
